aror,asd,variable,color
7.4954395,-2.3711433,Journal of Medical Internet Research,#ff7f0e
-8.911593,2.2321424,"international conference on computer, control and communication",#1f77b4
-9.594299,3.6838908,Applied Intelligence,#1f77b4
-9.906881,0.5542473,Neurocomputing,#2ca02c
8.389935,2.4218235,Computers in Human Behavior,#d62728
-6.3383555,6.437463,Quality & Quantity,#2ca02c
-3.1171489,-5.1241183,International Journal of Modern Physics B,#2ca02c
-4.212745,-4.1964135,european conference on complex systems,#1f77b4
-8.138663,1.0301672,international conference of the ieee engineering in medicine and biology society,#1f77b4
-7.7692337,1.0632572,computing in cardiology conference,#ff7f0e
9.874666,2.1248274,medicine meets virtual reality,#ff7f0e
9.767828,2.0322073,annual review of cybertherapy and telemedicine,#ff7f0e
9.269697,-1.258744,Applied Psychophysiology and Biofeedback,#d62728
-10.470099,2.7725842,international conference on pervasive computing,#1f77b4
8.749931,1.9782023,"Cyberpsychology, Behavior, and Social Networking",#d62728
12.158852,-1.0732229,Parkinsonism & Related Disorders,#d62728
-11.689573,2.9750137,"International Journal of Adaptive, Resilient and Autonomic Systems",#1f77b4
-8.438906,1.3517387,biomedical engineering systems and technologies,#1f77b4
-8.658415,4.449889,Presence: Teleoperators & Virtual Environments,#1f77b4
10.957876,0.50666404,Brain and behavior,#ff7f0e
-8.350724,5.1096153,Interacting with Computers,#1f77b4
8.609415,1.0836325,Journal of behavioral addictions,#d62728
11.208227,0.81370986,Neuropsychologia,#d62728
8.989369,0.87709486,Psychological Services,#ff7f0e
-10.506142,2.6502209,ubiquitous computing,#1f77b4
11.467631,0.5113074,Experimental Brain Research,#d62728
12.075942,-0.9892337,Journal of the Neurological Sciences,#ff7f0e
9.627124,-0.17000917,BMC Psychiatry,#d62728
-7.5099387,1.3967273,Studies in health technology and informatics,#ff7f0e
-10.264178,2.900076,International Journal of Handheld Computing Research,#1f77b4
-8.211636,4.7559643,Virtual Reality,#1f77b4
9.136571,-0.731324,Educational Gerontology,#d62728
9.728504,-1.3246044,Ageing Research Reviews,#2ca02c
10.81774,0.70099765,Frontiers in Behavioral Neuroscience,#d62728
11.9386425,-0.7966118,Parkinson's Disease,#ff7f0e
-8.305433,1.4873348,Computational and Mathematical Methods in Medicine,#1f77b4
9.59957,2.385712,Frontiers in Psychology,#d62728
11.306226,-0.299548,Neuroscience Letters,#2ca02c
10.280718,2.3368118,Cognitive Processing,#d62728
10.312161,-1.031397,NeuroRehabilitation,#d62728
-8.232251,1.3783754,Technology and Health Care,#ff7f0e
9.918797,0.16251695,Psychiatry Research-neuroimaging,#d62728
-8.59036,4.3356605,web based communities,#1f77b4
9.333677,1.0485758,Child Psychiatry & Human Development,#d62728
11.189204,0.38520205,Frontiers in Neuroscience,#d62728
9.187442,-1.7887036,Ageing & Society,#d62728
11.260439,-0.8371316,Amyotrophic Lateral Sclerosis,#ff7f0e
-7.4980755,1.5047693,BMC Medical Informatics and Decision Making,#ff7f0e
4.3158545,-6.102445,BioMed Research International,#2ca02c
12.176792,-0.9243556,Neurological Sciences,#ff7f0e
12.046753,-0.9055888,Journal of Neurology,#ff7f0e
10.748974,0.32120484,Neuroscience & Biobehavioral Reviews,#d62728
-8.640051,1.1875154,IEEE Transactions on Cognitive and Developmental Systems,#1f77b4
11.054852,0.71575016,Frontiers in Human Neuroscience,#d62728
9.114734,2.8038335,Creativity Research Journal,#d62728
-10.627078,2.0654156,Sensors,#1f77b4
7.3955517,-4.7090893,Open Medicine,#ff7f0e
9.272041,-1.9309167,Aging & Mental Health,#d62728
-8.663758,1.5250354,IEEE Journal of Biomedical and Health Informatics,#1f77b4
6.576797,-4.692156,Journal of Clinical Medicine,#ff7f0e
11.924903,-1.1363924,Frontiers in Neurology,#ff7f0e
7.7505493,6.6332245,Journal of Historical Pragmatics,#d62728
7.893548,6.3601537,International Journal of Corpus Linguistics,#1f77b4
7.6986027,6.887372,"Discourse, Context and Media",#d62728
7.7415786,6.825414,Journal of Pragmatics,#d62728
3.0680485,8.141224,Social media and society,#d62728
2.7553918,8.039322,International Journal of Communication,#d62728
2.1782339,7.9836416,Journalism & Mass Communication Quarterly,#d62728
2.6455576,7.9963274,"Journalism: Theory, Practice & Criticism",#d62728
2.5990405,8.008902,Journalism Practice,#d62728
1.5702004,8.180336,Communication Research Reports,#d62728
2.1480765,8.113507,Mass Communication and Society,#d62728
2.694439,8.010524,Digital journalism,#d62728
2.918325,8.184495,The International Journal of Press/Politics,#d62728
2.72052,7.986035,Journalism Studies,#d62728
2.216898,7.9452705,Electronic News,#1f77b4
10.7939,0.84695405,International Journal of Psychophysiology,#d62728
10.425082,0.7704053,Psychophysiology,#d62728
10.553271,0.5617359,Biological Psychology,#d62728
10.349246,1.1030892,Journal of Psychophysiology,#d62728
10.495246,3.0293427,Cognition,#d62728
10.292024,2.9848483,Behavioral and Brain Sciences,#d62728
10.219947,2.1942933,Infant Behavior & Development,#d62728
9.1995,2.8302696,European Psychologist,#d62728
10.365818,2.4453504,Developmental Science,#d62728
11.474734,0.29565033,Neuroreport,#2ca02c
10.97647,0.10969847,Behavioural Brain Research,#d62728
3.093472,-4.560126,Science,#2ca02c
10.13923,2.6330945,Infancy,#d62728
11.284902,0.6305798,NeuroImage,#d62728
10.902385,0.2552613,Developmental Neuropsychology,#d62728
3.156052,-4.878558,Proceedings of the National Academy of Sciences of the United States of America,#2ca02c
10.296225,3.241904,Cognitive Science,#d62728
2.855542,-4.235941,Philosophical Transactions of the Royal Society B,#2ca02c
10.616709,2.741303,Trends in Cognitive Sciences,#d62728
9.498741,1.1607163,Journal of Child Psychology and Psychiatry,#d62728
11.13695,1.5141927,Journal of Cognitive Neuroscience,#d62728
9.510596,3.6043775,Interaction Studies,#d62728
9.154926,1.1806775,Development and Psychopathology,#d62728
2.6851718,-5.654642,Biosilico,#2ca02c
10.39056,1.0051355,Social Neuroscience,#d62728
10.690835,2.5855274,Acta Psychologica,#d62728
11.36759,0.5050875,Progress in Brain Research,#2ca02c
9.922853,2.9749331,Psychological Science,#d62728
11.003878,0.91298604,Social Cognitive and Affective Neuroscience,#d62728
3.3811274,-7.003031,Physics in Medicine and Biology,#2ca02c
9.1615925,2.1573663,British Journal of Development Psychology,#d62728
3.137538,-4.557138,Current Biology,#2ca02c
10.23665,2.7118356,Journal of Experimental Child Psychology,#d62728
10.251608,0.004244454,Biological Psychiatry,#d62728
8.897216,1.8151757,Developmental Psychology,#d62728
11.670105,0.46255296,Current Opinion in Neurobiology,#2ca02c
11.144437,2.124468,Perception,#d62728
2.0855982,-1.0300043,Biology Letters,#2ca02c
10.103184,3.244845,Mind & Language,#d62728
10.885145,0.98187065,Developmental Cognitive Neuroscience,#d62728
10.739121,2.6347234,Journal of Experimental Psychology: Human Perception and Performance,#d62728
9.898116,2.8677275,Annual Review of Psychology,#d62728
11.228951,0.5326838,Cortex,#d62728
11.201232,0.76317096,Brain and Cognition,#d62728
9.835326,3.465531,Nature Human Behaviour,#d62728
11.12568,2.205475,Journal of Vision,#d62728
-10.973816,2.4631207,computational science and engineering,#1f77b4
-11.418566,3.754002,Journal of Systems and Software,#1f77b4
-8.776481,4.7643127,Brazilian Journal of Computers in Education,#1f77b4
-10.328036,3.2033095,computer supported cooperative work in design,#1f77b4
-10.524693,2.9894555,international conference on conceptual structures,#1f77b4
-10.549875,4.235678,International Journal of Web Portals,#1f77b4
-10.596339,4.3488874,brazilian symposium on databases,#1f77b4
-10.386666,3.916294,international conference on enterprise information systems,#1f77b4
-10.505315,4.264118,conferencia iberoamericana de software engineering,#1f77b4
-9.963948,2.7733524,congress on evolutionary computation,#1f77b4
-10.459851,4.234881,Journal of the Brazilian Computer Society,#1f77b4
-11.149988,3.864712,Journal of Internet Services and Applications,#1f77b4
-11.6908865,2.3970547,Future Generation Computer Systems,#1f77b4
-10.190392,4.186853,brazilian symposium on multimedia and the web,#1f77b4
-10.781943,3.8558097,International Journal of Business Process Integration and Management,#1f77b4
2.1693702,-5.281511,ChemBioChem,#2ca02c
-2.9243374,7.322182,Marketing Intelligence & Planning,#d62728
-3.378154,7.358031,Cogent Business & Management,#d62728
-3.155328,6.908338,International Journal of Educational Management,#d62728
-2.7022123,7.3963227,Journal of Product & Brand Management,#d62728
-2.9157312,7.3234625,International Journal of Bank Marketing,#d62728
-2.9980128,9.388238,information and communication technologies in tourism,#1f77b4
-3.0627654,7.2485995,Asia Pacific Journal of Marketing and Logistics,#d62728
-2.5289357,1.033217,Travel behaviour and society,#d62728
-5.767932,5.4200196,International Journal of Information Management,#1f77b4
3.6886716,9.406662,Res Publica,#d62728
3.6455727,9.308758,Acta Politica,#d62728
3.605003,9.1368685,Political Studies,#d62728
3.6686413,9.1403,The Journal of Legislative Studies,#d62728
3.5974195,9.336917,Party Politics,#d62728
-11.444304,4.731256,international conference on data engineering,#1f77b4
-8.352023,1.9481837,computer-based medical systems,#1f77b4
-10.72934,4.1683164,database and expert systems applications,#1f77b4
-12.826596,2.2694654,distributed computing in sensor systems,#1f77b4
-10.922428,4.5327473,IEEE Transactions on Knowledge and Data Engineering,#1f77b4
-12.681513,1.6453333,Computer Networks,#1f77b4
-12.357656,1.3750246,international conference on communications,#1f77b4
-10.8571825,3.9366734,acm symposium on applied computing,#1f77b4
-9.2288475,3.3100076,Journal of intelligent systems,#1f77b4
-9.8419285,3.1066217,ieee international conference on intelligent systems,#1f77b4
-10.091707,3.8821306,International Journal on Semantic Web and Information Systems,#1f77b4
-10.433006,4.2377186,Knowledge and Information Systems,#1f77b4
-10.5141735,4.2556868,data warehousing and knowledge discovery,#1f77b4
-9.478286,3.4058056,Information Sciences,#2ca02c
-5.0535593,0.07803334,Energy Procedia,#1f77b4
-11.673445,2.6851294,trust security and privacy in computing and communications,#1f77b4
-9.96879,4.110425,model and data engineering,#1f77b4
2.4251747,-5.2391367,bioinformatics and bioengineering,#1f77b4
-10.588898,4.0485954,advances in databases and information systems,#1f77b4
-11.365095,2.388772,international symposium on parallel and distributed processing and applications,#1f77b4
-7.5487623,1.3981682,ieee international conference on healthcare informatics,#1f77b4
-11.775964,2.799135,ieee acm international conference utility and cloud computing,#1f77b4
-10.481378,3.8413951,edbt/icdt workshops,#1f77b4
-11.653763,3.4975026,international congress on big data,#1f77b4
-10.409422,5.657909,international conference on knowledge capture,#1f77b4
-10.5630245,4.449514,international conference on data mining,#1f77b4
-8.999748,2.86267,Communications in computer and information science,#1f77b4
-12.76256,2.1717489,network operations and management symposium,#1f77b4
-10.250908,3.064962,international convention on information and communication technology electronics and microelectronics,#1f77b4
-11.865056,3.0947595,ieee international conference on smart computing,#1f77b4
-11.480658,4.808211,international conference on management of data,#1f77b4
-9.428669,3.4648943,international conference on information intelligence systems and applications,#1f77b4
-12.811342,2.0090892,IEEE Transactions on Network and Service Management,#1f77b4
-11.617827,2.8577645,Computing,#2ca02c
-11.371286,2.443393,green computing and communications,#1f77b4
-9.849392,3.845958,"web intelligence, mining and semantics",#1f77b4
-11.497864,3.3947113,Big Data Research,#1f77b4
-7.2036614,0.64636606,Energies,#1f77b4
-10.652362,4.321654,ieee international conference on data science and advanced analytics,#1f77b4
-10.252551,2.1978161,Applied Sciences,#1f77b4
-10.208764,-0.25653625,arXiv: Computer Vision and Pattern Recognition,#1f77b4
-11.180947,4.79057,business intelligence for the real-time enterprises,#1f77b4
-10.422074,2.1933348,Electronics,#1f77b4
-10.858939,4.429516,conference on advanced information systems engineering,#1f77b4
-10.852013,5.31792,international conference on logic programming,#1f77b4
-10.360086,4.428649,international conference on social computing,#1f77b4
-10.798065,5.380514,ACM Transactions on Computational Logic,#2ca02c
-9.938472,3.5231862,computational intelligence,#1f77b4
-10.320195,4.99097,innovative applications of artificial intelligence,#1f77b4
-4.4511933,-4.098473,BioSystems,#2ca02c
-10.805945,4.1650686,advances in social networks analysis and mining,#1f77b4
-13.189587,3.632957,european symposium on research in computer security,#1f77b4
-11.035941,4.2154384,social informatics,#1f77b4
-12.7631035,3.2990768,arXiv: Cryptography and Security,#1f77b4
-10.975086,5.431659,Theory and Practice of Logic Programming,#1f77b4
-10.46226,4.8228,national conference on artificial intelligence,#1f77b4
-11.805193,1.8460367,arXiv: Computer Science and Game Theory,#2ca02c
-8.8562355,-3.7080412,arXiv: Data Structures and Algorithms,#2ca02c
-10.392826,4.666644,adaptive agents and multi agents systems,#1f77b4
-10.597472,4.5328765,knowledge discovery and data mining,#1f77b4
-10.583213,4.122142,Social Network Analysis and Mining,#1f77b4
-11.917152,5.2346187,arXiv: Logic in Computer Science,#2ca02c
-10.566255,4.5502505,foundations of information and knowledge systems,#1f77b4
-11.933961,3.7604856,acm southeast regional conference,#1f77b4
-12.284847,3.5970113,international conference on security and cryptography,#1f77b4
-10.997011,4.3078265,arXiv: Computers and Society,#1f77b4
-10.791118,4.1778026,social computing behavioral modeling and prediction,#1f77b4
-10.390916,5.054833,conference on information and knowledge management,#1f77b4
-10.544848,4.982579,Annals of Mathematics and Artificial Intelligence,#2ca02c
-7.460622,4.708578,intelligence and security informatics,#1f77b4
-6.946544,4.964721,Security Informatics,#1f77b4
-10.746933,4.592447,siam international conference on data mining,#1f77b4
2.7121277,8.205819,New Media & Society,#d62728
3.2525003,8.96752,Environmental Politics,#d62728
3.1020906,8.045592,Environmental Communication-a Journal of Nature and Culture,#d62728
3.3830261,7.7561793,"Media, Culture & Society",#d62728
2.36872,8.249019,Journal of Communication,#d62728
2.2554135,8.199402,Communication Theory,#d62728
6.4701753,-3.426001,PLOS Medicine,#ff7f0e
4.374742,7.4852695,"Science, Technology, & Human Values",#d62728
3.5198166,7.622048,Feminist Media Studies,#d62728
3.756801,8.087097,Canadian journal of communication,#d62728
-6.9035907,5.834062,Ethics and Information Technology,#d62728
-8.453215,5.282135,conference on computer supported cooperative work,#1f77b4
5.255336,-6.4515004,Annals of Oncology,#ff7f0e
5.341791,-6.4151845,Lancet Oncology,#ff7f0e
6.916109,-3.8249927,Journal of Medical Ethics,#ff7f0e
7.2901835,-3.1039388,Human Resources for Health,#ff7f0e
2.869255,8.344727,"Information, Communication & Society",#d62728
2.7007935,-5.3145514,BMC Medical Genomics,#2ca02c
-2.76572,7.3438525,European Journal of Marketing,#d62728
-2.7646234,7.314548,Industrial Marketing Management,#d62728
-6.3484964,5.5989604,Internet Research,#1f77b4
-3.599908,6.49738,Journal of Engineering and Technology,#1f77b4
-2.9017813,7.277176,"The International Review of Retail, Distribution and Consumer Research",#d62728
-3.4470315,6.328595,Strategic Entrepreneurship Journal,#d62728
3.9476671,-5.0678864,Nature Medicine,#ff7f0e
5.8661914,-2.4568934,Journal of Acquired Immune Deficiency Syndromes,#ff7f0e
7.286295,-2.1435342,American Journal of Public Health,#ff7f0e
7.0501776,-5.7212887,The American Journal of the Medical Sciences,#ff7f0e
-5.008531,4.563204,Interfaces,#1f77b4
-4.1696296,-3.870866,Theoretical Population Biology,#2ca02c
-4.6052346,-4.096062,Mathematical Medicine and Biology-a Journal of The Ima,#2ca02c
6.8193717,-17.503296,Ophthalmic Epidemiology,#ff7f0e
5.7667146,-3.8047578,Epidemiology,#ff7f0e
5.67489,-2.8153296,AIDS,#ff7f0e
5.2815733,-3.5549145,Clinical Infectious Diseases,#ff7f0e
5.351607,-3.4216363,The Journal of Infectious Diseases,#ff7f0e
5.1929,-3.4627995,Emerging Infectious Diseases,#2ca02c
7.341055,-2.474982,BMC Public Health,#ff7f0e
7.7276716,-3.5391114,The New England Journal of Medicine,#ff7f0e
-4.319961,-4.1008406,Journal of Theoretical Biology,#2ca02c
4.852077,-3.2542167,American Journal of Tropical Medicine and Hygiene,#2ca02c
5.185434,-3.5183594,Lancet Infectious Diseases,#ff7f0e
7.979917,-3.5796263,JAMA,#ff7f0e
-4.3975787,-4.0730386,Bulletin of Mathematical Biology,#2ca02c
7.491454,-3.4312367,Pediatrics,#ff7f0e
6.9432125,-3.3872716,The Lancet,#ff7f0e
5.6365566,-3.4230096,BMC Infectious Diseases,#ff7f0e
6.819825,-17.51308,British Journal of Ophthalmology,#ff7f0e
6.818964,-17.498226,Investigative Ophthalmology & Visual Science,#2ca02c
5.085614,-4.002843,Expert Review of Anti-infective Therapy,#ff7f0e
4.922026,-5.933376,Molecular Vision,#2ca02c
4.6857595,-3.2369082,Epidemics,#2ca02c
6.820599,-17.506037,Ophthalmology,#ff7f0e
4.6404376,-3.281047,PLOS Neglected Tropical Diseases,#2ca02c
6.8199124,-17.51355,Journal of Glaucoma,#ff7f0e
6.821131,-17.515804,Archives of Ophthalmology,#ff7f0e
6.820513,-17.501005,Journal of Aapos,#ff7f0e
6.8213186,-17.519344,Journal of Cataract and Refractive Surgery,#ff7f0e
4.9317093,-3.02188,International Health,#ff7f0e
12.04545,-1.1618564,Pediatric Neurology,#ff7f0e
6.821446,-17.514412,Eye,#ff7f0e
6.818224,-17.520401,Current Eye Research,#2ca02c
6.820599,-17.517622,Cornea,#ff7f0e
6.820483,-17.508638,JAMA Ophthalmology,#ff7f0e
10.32497,-1.1326045,Optometry and Vision Science,#ff7f0e
7.8354983,-3.4349916,JAMA Internal Medicine,#ff7f0e
6.8205633,-17.511356,American Journal of Ophthalmology,#ff7f0e
6.8360605,-17.400768,Journal of Ophthalmology,#ff7f0e
6.335565,-3.982927,American Journal of Epidemiology,#ff7f0e
6.8350224,-17.409561,Seminars in Ophthalmology,#ff7f0e
5.7786694,-5.2185974,"Cancer Epidemiology, Biomarkers & Prevention",#ff7f0e
6.8252206,-17.45797,Ophthalmic Surgery and Lasers,#ff7f0e
5.0670767,-3.0647473,PLOS Currents,#ff7f0e
7.711009,-2.3961313,Contemporary Clinical Trials,#ff7f0e
-4.4128222,-4.0918937,Bellman Prize in Mathematical Biosciences,#2ca02c
6.8341947,-17.412113,International Ophthalmology,#ff7f0e
6.82122,-17.4922,Retina-the Journal of Retinal and Vitreous Diseases,#ff7f0e
7.5169244,-3.4105248,JAMA Pediatrics,#ff7f0e
3.2408216,-2.7015243,Parasites & Vectors,#2ca02c
6.8233624,-17.490326,Clinical and Experimental Ophthalmology,#ff7f0e
-10.059616,4.492532,agent directed simulation,#1f77b4
-6.653294,-3.399933,Journal of Mathematical Analysis and Applications,#2ca02c
-4.226141,-4.1476846,arXiv: Populations and Evolution,#2ca02c
5.5228615,-3.7667696,Pediatric Infectious Disease Journal,#ff7f0e
6.7983875,-4.294572,Diabetes,#2ca02c
7.057894,-2.6389623,JMIR public health and surveillance,#ff7f0e
3.2153347,-4.828345,bioRxiv,#2ca02c
5.3725953,-3.7732406,Open Forum Infectious Diseases,#ff7f0e
4.3255825,-3.8777795,Acta Tropica,#2ca02c
5.398035,-3.1437132,Infectious Diseases of Poverty,#ff7f0e
-3.892804,-3.905033,Royal Society Open Science,#2ca02c
7.6211376,-2.7298892,Health Informatics Journal,#ff7f0e
7.1831064,-2.3381894,Public Health Nutrition,#ff7f0e
6.942258,-2.9354866,Annals of Epidemiology,#ff7f0e
4.1693397,-3.0986469,Malaria Journal,#2ca02c
-13.084484,1.5078306,international conference on computer communications,#1f77b4
-10.847,3.9043608,Lecture Notes in Computer Science,#1f77b4
-12.691736,2.0273788,mobile and wireless communication networks,#1f77b4
-12.227954,1.2245493,global communications conference,#1f77b4
-13.155093,1.8060324,international workshop on quality of service,#1f77b4
-13.115147,2.031876,measurement and modeling of computer systems,#1f77b4
-12.238549,4.3918905,applications and theory of petri nets,#1f77b4
-8.43149,-3.4249341,Networks,#2ca02c
-12.924994,1.496374,international telecommunications network strategy and planning symposium,#1f77b4
-13.0521145,1.7448081,IEEE ACM Transactions on Networking,#1f77b4
-12.178151,1.1111153,vehicular technology conference,#1f77b4
-12.816199,2.7943716,dependable systems and networks,#1f77b4
-13.018104,2.016718,Performance Evaluation,#1f77b4
-12.352415,2.2248607,international conference on networking,#1f77b4
-12.978217,1.8944342,acm/ieee international conference on mobile computing and networking,#1f77b4
-12.711735,2.9117033,international parallel and distributed processing symposium,#1f77b4
-12.733475,2.2510386,"modeling, analysis, and simulation on computer and telecommunication systems",#1f77b4
-13.269481,1.6522,ieee international conference computer and communications,#1f77b4
-13.069203,1.7381811,mobile ad hoc networking and computing,#1f77b4
-12.062696,4.6464186,leveraging applications of formal methods,#1f77b4
-12.941244,1.6600113,IEEE Transactions on Mobile Computing,#1f77b4
-12.795688,1.917284,mobile adhoc and sensor systems,#1f77b4
-13.005598,1.9449627,international conference on network protocols,#1f77b4
-10.499727,2.4472015,Journal of Computer Science and Technology,#1f77b4
-12.646743,1.770522,arXiv: Performance,#1f77b4
-12.470069,1.0675938,IEEE Transactions on Vehicular Technology,#1f77b4
-12.7743435,1.2080643,IEEE Journal on Selected Areas in Communications,#1f77b4
-12.423376,1.7397127,modeling analysis and simulation of wireless and mobile systems,#1f77b4
-11.824731,-0.010252665,international symposium on information theory,#1f77b4
-12.062585,0.43814963,arXiv: Information Theory,#2ca02c
-11.828999,-0.12544382,IEEE Transactions on Information Theory,#1f77b4
-12.583661,1.6348542,arXiv: Networking and Internet Architecture,#1f77b4
-13.198621,2.118925,acm special interest group on data communication,#1f77b4
-12.712664,2.26982,IEEE Transactions on Parallel and Distributed Systems,#1f77b4
-10.643575,0.18064667,IEEE Transactions on Multimedia,#1f77b4
-11.618521,4.119768,conference on online social networks,#1f77b4
-12.901336,2.2807024,ACM Transactions on Modeling and Performance Evaluation of Computing,#1f77b4
-9.871737,3.0288196,arXiv: Neural and Evolutionary Computing,#1f77b4
